TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
Bisect,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9165949512335054,123,117
Bisect,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9165949512335054,123,117
