TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
BubbleSort,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9980769230769231,92,92
BubbleSort,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9980769230769231,92,92
