TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
StringTokenizer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7905937518436817,650,449
StringTokenizer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9344151158155871,685,641
