1,2
2,5
3,5
4,5
5,8
6,10
7,12
8,13
9,15
10,16
11,18
12,19
13,19
14,19
15,19
16,20
17,25
18,25
19,28
20,28
21,28
22,31
23,31
24,31
25,34
26,34
27,34
28,35
