6,N
7,N,x
8,N,x,M
9,N,x,M
10,N,x,M,r
11,N,x,M,r
13,N,r
25,N,r
26,N
27,N
14,N
18,N,r
19,N,r
20,N,r
23,N,r
15,N,r
16,N,r
17,N,r
