Program Name;Mutant Name;Result;Status;Operator;Program Graph Node;Primitive Arc?;Source Primitive Arc?;Target Primitive Arc?;Equivalent?;Distance Begin;Distance Begin (min);Distance Begin (max);Distance Begin (avg);Distance End;Distance End (min);Distance End (max);Distance End (avg);Source Node;Target Node;Sources Nodes are primitive?;Targets Nodes are primitive?;Complexity;Type Statement;PS;OS;pageRank;hub;authority
Bisect;AOIS_385;Nonequivalent;Nonequivalent;AOIS;1;0;0;0;0;0;[0];0;0;0.0;[6, 7, 6, 2];2;7;5.25;[];[2];[];[0];55;Assignment;1.0;0.7236842105263158;0.026;0.0;0.0
Bisect;ROR_231;Nonequivalent;Nonequivalent;ROR;1;0;0;0;0;0;[0];0;0;0.0;[6, 7, 6, 2];2;7;5.25;[];[2];[];[0];55;While;1.0;0.7894736842105263;0.026;0.0;0.0
Bisect;AOIS_628;Nonequivalent;Nonequivalent;AOIS;1;0;0;0;0;0;[0];0;0;0.0;[6, 7, 6, 2];2;7;5.25;[];[2];[];[0];55;While;1.0;0.7236842105263158;0.026;0.0;0.0
Bisect;AOIU_49;Nonequivalent;Nonequivalent;AOIU;1;0;0;0;0;0;[0];0;0;0.0;[6, 7, 6, 2];2;7;5.25;[];[2];[];[0];55;If;1.0;0.5625;0.026;0.0;0.0
Bisect;AORB_57;Nonequivalent;Nonequivalent;AORB;6;0;1;0;1;0;[4, 8, 8, 9];4;9;7.25;[3];3;3;3.0;[5];[7];[1];[1];30;If;0.7419354838709677;0.65625;0.062;0.293;0.293
Bisect;AOIS_560;Nonequivalent;Nonequivalent;AOIS;6;0;1;0;1;0;[4, 8, 8, 9];4;9;7.25;[3];3;3;3.0;[5];[7];[1];[1];30;Assignment;0.7419354838709677;0.7236842105263158;0.062;0.293;0.293
Bisect;ROR_401;Nonequivalent;Nonequivalent;ROR;4;0;1;0;1;0;[3, 7, 7, 8];3;8;6.25;[3];3;3;3.0;[3];[7];[1];[1];45;If;0.6206896551724138;0.7894736842105263;0.086;0.293;0.0
Bisect;AORB_238;Nonequivalent;Nonequivalent;AORB;1;0;0;0;0;0;[0];0;0;0.0;[6, 7, 6, 2];2;7;5.25;[];[2];[];[0];55;If;1.0;0.65625;0.026;0.0;0.0
Bisect;AOIS_443;Nonequivalent;Nonequivalent;AOIS;1;0;0;0;0;0;[0];0;0;0.0;[6, 7, 6, 2];2;7;5.25;[];[2];[];[0];55;While;1.0;0.7236842105263158;0.026;0.0;0.0
Bisect;ROR_148;Nonequivalent;Nonequivalent;ROR;4;0;1;0;1;0;[3, 7, 7, 8];3;8;6.25;[3];3;3;3.0;[3];[7];[1];[1];45;If;0.6206896551724138;0.7894736842105263;0.086;0.293;0.0
