Program Name;Mutant Name;Result;Status;Operator;Program Graph Node;Primitive Arc?;Source Primitive Arc?;Target Primitive Arc?;Equivalent?;Distance Begin;Distance Begin (min);Distance Begin (max);Distance Begin (avg);Distance End;Distance End (min);Distance End (max);Distance End (avg);Source Node;Target Node;Sources Nodes are primitive?;Targets Nodes are primitive?;Complexity;Type Statement;PS;OS;pageRank;hub;authority
Mid;LOI_6;Nonequivalent;Nonequivalent;LOI;3;0;1;1;0;0;[2];2;2;2.0;[4, 4];4;4;4.0;[2];[5, 4];[1];[1, 1];2;If;0.85;0.8823529411764706;0.039;0.0;0.0
Mid;AOIU_12;Nonequivalent;Nonequivalent;AOIU;10;0;1;1;0;0;[2];2;2;2.0;[3, 3];3;3;3.0;[9];[12, 11];[1];[1, 1];1;If;0.9;0.7647058823529411;0.039;0.0;0.0
Mid;LOI_10;Nonequivalent;Nonequivalent;LOI;9;0;1;1;0;0;[1];1;1;1.0;[2, 4, 4];2;4;3.3333333333333335;[1];[14, 10];[1];[1, 1];2;If;0.85;0.8823529411764706;0.035;0.0;0.0
Mid;AOIU_6;Nonequivalent;Nonequivalent;AOIU;3;0;1;1;0;0;[2];2;2;2.0;[4, 4];4;4;4.0;[2];[5, 4];[1];[1, 1];2;If;0.85;0.7647058823529411;0.039;0.0;0.0
Mid;AOIU_7;Nonequivalent;Nonequivalent;AOIU;4;0;1;0;1;0;[3];3;3;3.0;[3];3;3;3.0;[3];[6];[1];[0];1;Assignment;0.5;0.7647058823529411;0.041;0.0;0.0
Mid;AOIU_10;Nonequivalent;Nonequivalent;AOIU;9;0;1;1;0;0;[1];1;1;1.0;[2, 4, 4];2;4;3.3333333333333335;[1];[14, 10];[1];[1, 1];2;If;0.85;0.7647058823529411;0.035;0.0;0.0
