mutant name, is equivalent?, distinguished by
AOIS_167, 0, [VVVVVVVVV=0;VVVVVVV=0;VVVVVV=0;VV=0;VVVVVVVV=1;VVVVVVVVVVVVVVVVVV=162;VVVVVVVVVVVV=0;VVVVVVVVVVVVVVVVVVV=-4;VVVVVVVVVVVVVVVVVVVV=-776]
AOIS_168, 0, [VVVVVVVV=1;VVVVVVVVVVVV=1;VVVVVVVVVVVVVVVVVVVV=-1;VVVVVVVVVVVVVVVVVVV=0;VVVVVVVVVVVVVVVVVV=1023]
AOIS_169, 0, [VVVVVVVVVVVV=0;VVVVVVVV=1;VVVVVVVVVVVVVVVVVVVV=0;VVVVVVVVVVVVVVVVVV=0;VVVVVVVVVVVVVVVVVVV=0]
AOIS_17, 1, -
AOIS_170, 0, [VVVVVVVVVVVV=1;VVVVVVVV=1;VVVVVVVVVVVVVVVVVVVV=0;VVVVVVVVVVVVVVVVVV=0;VVVVVVVVVVVVVVVVVVV=0]
AOIS_171, 1, -
AOIS_172, 0, [VVVVVVVVVVVV=1;VVVVVVVV=1;VVVVVVVVVVVVVVVVVVVV=-1024;VVVVVVVVVVVVVVVVVV=0;VVVVVVVVVVVVVVVVVVV=0]
AOIS_173, 1, -
AOIS_174, 1, -
AOIS_175, 1, -
AOIS_176, 1, -
AOIS_177, 1, -
AOIS_178, 1, -
AOIS_179, 1, -
AOIS_18, 1, -
AOIS_180, 1, -
AOIS_181, 1, -
AOIS_182, 0
AOIS_183, 0
AOIS_184, 0
AOIS_186, 0
AOIS_187, 0
AOIS_188, 0
AOIS_189, 0
AOIS_19, 0
AOIS_190, 0
AOIS_192, 0
AOIS_193, 0
AOIS_194, 0
AOIS_195, 0
AOIS_196, 0
AOIS_197, 0
AOIS_198, 0
AOIS_199, 0
AOIS_20, 0
AOIS_201, 0
AOIS_202, 0
AOIS_203, 0
AOIS_204, 0
AOIS_205, 0
AOIS_206, 0
AOIS_207, 0
AOIS_208, 0
AOIS_209, 0
AOIS_210, 0
AOIS_211, 0
AOIS_212, 0
AOIS_22, 0
AOIS_23, 0
AOIS_25, 0
AOIS_26, 0
AOIS_27, 0
AOIS_28, 0
AOIS_29, 0
AOIS_31, 0
AOIS_33, 0
AOIS_34, 0
AOIS_35, 0
AOIS_36, 0
AOIS_37, 0
AOIS_38, 0
AOIS_39, 0
AOIS_40, 0
AOIS_41, 0
AOIS_42, 0
AOIS_43, 1, -
AOIS_44, 0
AOIS_45, 0
AOIS_46, 0
AOIS_47, 0
AOIS_49, 0
AOIS_50, 0
AOIS_51, 0
AOIS_52, 0
AOIS_54, 0
AOIS_55, 0
AOIS_56, 0
AOIS_57, 0
AOIS_58, 0
AOIS_59, 0
AOIS_60, 0
AOIS_61, 0
AOIS_62, 0
AOIS_64, 0
AOIS_65, 1, -
AOIS_66, 1, -
AOIS_67, 0
AOIS_69, 0
AOIS_70, 0
AOIS_72, 0
AOIS_73, 0
AOIS_74, 0
AOIS_75, 0
AOIS_76, 0
AOIS_77, 0
AOIS_78, 0
AOIS_79, 0
AOIS_81, 0
