Mutant,test16,test38,test15,test37,test14,test36,test13,test35,test12,test34,test11,test33,test10,test32,test31,test19,test18,test17,test39,test30,test05,test27,test04,test26,test03,test25,test02,test24,test01,test23,test00,test22,test21,test43,test20,test42,test09,test08,test07,test29,test06,test28,test41,test40,Total,Equiv?
ROR_105, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,1, 
ROR_103, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
LOI_68, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1, 
ODL_67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
COI_39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
LOI_62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,1, 
AOIS_206, , , , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , ,1, , , , , , , , , , , , ,3, 
ROR_100, , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , ,1, , , , , , , , , , , , , , ,2, 
AOIS_207, , , , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , ,1, , , , , , , , , , , , ,3, 
AOIS_208, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
LOI_60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
ROR_25, , ,1,1, ,1, ,1, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,5, 
AOIS_174, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
AOIS_172, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
ROR_26, , ,1,1, ,1, ,1, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,5, 
