Mutant,test12,test05,test04,test03,test02,test01,test00,test11,test10,test09,test08,test07,test06,Total,Equiv?
LOI_5, , , , , , , , , , , , , ,0, 
LOI_6, , , , , , , , ,1, , , , ,1, 
AOIS_54, , , , , , , , , , , , , ,0, 
LOI_7, , , , , , , , , , , , , ,0, 
ROR_52, , , , , , , , ,1,1, , , ,2, 
AOIS_53, , , , , , , , ,1,1, , , ,2, 
AOIS_52, , , , , , , , ,1,1, , , ,2, 
ROR_51, , , , , , , , , ,1, , , ,1, 
LOI_8, , , , , , , , , , , , , ,0, 
LOI_1, , , , , ,1,1, , , , , , ,2, 
AOIS_50, , , , , , , , ,1,1, , , ,2, 
LOI_4, , , , , , ,1, ,1,1, , , ,3, 
ROR_47, , , , , , , , ,1,1, , , ,2, 
ROR_46, , , , , , , , ,1,1, , , ,2, 
ROR_49, , , , , , , , , , , , , ,0, 
AOIS_49, , , , , , , , , , , , , ,0, 
ROR_48, , , , , , , , ,1,1, , , ,2, 
AOIS_48, , , , , , , , ,1,1, , , ,2, 
AOIS_47, , , , , , , , ,1,1, , , ,2, 
AOIS_46, , , , , , , , , , , , , ,0, 
ROR_45, , , , , , , , ,1,1, , , ,2, 
AOIS_45, , , , , , , , ,1,1, , , ,2, 
ROR_41, , , , , , , , ,1,1, , , ,2, 
ROR_40, , , , , , , , ,1,1, , , ,2, 
AOIS_40,1,1,1,1,1,1,1,1,1,1,1,1,1,13, 
LOI_9, , , , , , , , , , , , , ,0, 
SDL_13, ,1,1,1,1,1,1,1,1,1,1,1,1,12, 
ROR_38, , , , , , , , , , , , , ,0, 
AOIS_39, , , , , , , , , , , , , ,0, 
ROR_37, , , , , , , , , ,1, , , ,1, 
AOIS_37, , , , , , , , ,1,1, , , ,2, 
ASRS_3, , , , , , , , , , ,1, , ,1, 
AOIS_36, , , , , , , , , , , , , ,0, 
ROR_31, , , , , , , , , , , , , ,0, 
ASRS_2, , , , , , , , , , ,1, , ,1, 
ROR_34, , , , , , , , , , , , , ,0, 
ROR_33, , , , , , , , , ,1, , , ,1, 
AOIS_34, , , , , , , , ,1, , , , ,1, 
AOIS_33, , , , , , , , , , , , , ,0, 
SDL_19, , , , , , , , , , , , , ,0, 
ASRS_7, ,1, , , , , , , , , , , ,1, 
AOIS_32, , , , , , , , , , , , , ,0, 
AOIS_31, , , , , , , , , , , , , ,0, 
ASRS_5, ,1, , , , , , , , , , , ,1, 
SDL_15, , , , , , , , , , , , , ,0, 
SDL_16, , , , , , , , ,1,1, , , ,2, 
ROR_109, , , , , , , , , , , , , ,0, 
