8,__LOCAL[3]
9,__LOCAL[3]
10,__LOCAL[3]
42,__LOCAL[4]
12,__LOCAL[3]
14,__LOCAL[3]
41,__LOCAL[4]
16,__LOCAL[3]
18,__LOCAL[3]
20,__LOCAL[3]
22,__LOCAL[3]
24,__LOCAL[3]
26,__LOCAL[3]
28,__LOCAL[3]
30,__LOCAL[3]
32,__LOCAL[3]
