Program Name;Mutant Name;Result;Status;Operator;Program Graph Node;Primitive Arc?;Source Primitive Arc?;Target Primitive Arc?;Equivalent?;Distance Begin;Distance Begin (min);Distance Begin (max);Distance Begin (avg);Distance End;Distance End (min);Distance End (max);Distance End (avg);Source Node;Target Node;Sources Nodes are primitive?;Targets Nodes are primitive?;Complexity;Type Statement;PS;OS;pageRank;hub;authority
Min;AOIU_2;Nonequivalent;Nonequivalent;AOIU;1;0;1;1;0;0;[0];0;0;0.0;[1, 2];1;2;1.5;[];[3, 2];[];[1, 1];3;If;0.6538461538461539;0.6;0.198;0.618;0.0
Min;AOIS_4;Nonequivalent;Nonequivalent;AOIS;1;0;1;1;0;0;[0];0;0;0.0;[1, 2];1;2;1.5;[];[3, 2];[];[1, 1];3;Assignment;0.6538461538461539;0.4444444444444444;0.198;0.618;0.0
Min;AOIS_10;Nonequivalent;Nonequivalent;AOIS;1;0;1;1;0;0;[0];0;0;0.0;[1, 2];1;2;1.5;[];[3, 2];[];[1, 1];3;If;0.6538461538461539;0.4444444444444444;0.198;0.618;0.0
Min;AOIU_4;Nonequivalent;Nonequivalent;AOIU;2;0;1;0;1;0;[1];1;1;1.0;[1];1;1;1.0;[1];[3];[1];[1];1;Assignment;0.625;0.6;0.282;0.382;0.382
Min;LOI_2;Nonequivalent;Nonequivalent;LOI;1;0;1;1;0;0;[0];0;0;0.0;[1, 2];1;2;1.5;[];[3, 2];[];[1, 1];3;If;0.6538461538461539;0.8;0.198;0.618;0.0
