7
7,7
7,7,7
7,7,7,8
7,7,7,10,11
7,7,7,10,11,12,14
7,7,7,10,11,12,14,15,17,18,20,27,28
7,7,7,10,11,12,14,17,20,27,30
7,7,7,10,11,12,14,17,20,27,30,31
7,7,7,10,11,12,14,17,20,27,30,33,36,41
7,7,7,10,11,14
7,7,7,10,11,14,15,17,20,27,30,33
7,7,7,10,11,14,15,17,20,27,30,33,34
7,7,7,10,11,14,15,17,20,27,30,33,36,41
7,7,7,10,11,14,17
7,7,7,10,11,14,17,18,20,27,30,33,36
7,7,7,10,11,14,17,18,20,27,30,33,36,37
7,7,7,10,11,14,17,18,20,27,30,33,36,41
7,7,7,10,11,14,17,20,21
7,7,7,10,11,14,17,20,21,21
7,7,7,10,11,14,17,20,21,21,21
7,7,7,10,11,14,17,20,21,21,21,22
7,7,7,10,11,14,17,20,21,21,21,24
7,7,7,10,11,14,17,20,21,21,22
7,7,7,10,11,14,17,20,21,22
7,7,8
7,8
